證券代碼,簡稱,年月日,開盤價(元),收盤價(元),成交量(千股)
00687B ,國泰20年美債 ,20170714,    37.7902,    37.7152,      306
00694B ,富邦美債1-3  ,20170714,    38.6571,    38.6859,     1938
00695B ,富邦美債7-10 ,20170714,    36.2529,    36.2620,     1506
00696B ,富邦美債20年 ,20170717,    37.5323,    37.5796,     2013
00679B ,元大美債20年 ,20170717,    36.1086,    36.0994,     1847
00697B ,元大美債7-10 ,20170717,    37.9358,    38.0128,     1816
00687B ,國泰20年美債 ,20170717,    37.6590,    37.6871,      453
00694B ,富邦美債1-3  ,20170717,    38.6763,    38.7339,     1860
00695B ,富邦美債7-10 ,20170717,    36.2893,    36.2802,     2001
00696B ,富邦美債20年 ,20170718,    37.8065,    37.7309,     1989
00679B ,元大美債20年 ,20170718,    36.2570,    36.2663,     1813
00697B ,元大美債7-10 ,20170718,    38.0417,    38.0803,     2006
00687B ,國泰20年美債 ,20170718,    37.7433,    37.8276,     1037
00694B ,富邦美債1-3  ,20170718,    38.7915,    38.7051,     2055
00695B ,富邦美債7-10 ,20170718,    36.4074,    36.3529,     1993
00696B ,富邦美債20年 ,20170719,    37.9389,    38.0050,     2373
00679B ,元大美債20年 ,20170719,    36.5075,    36.5446,     1835
00697B ,元大美債7-10 ,20170719,    38.0803,    38.1766,     1982
00687B ,國泰20年美債 ,20170719,    37.8651,    38.1554,      520
00694B ,富邦美債1-3  ,20170719,    38.6667,    38.7339,     1960
00695B ,富邦美債7-10 ,20170719,    36.3801,    36.4165,     2062
00696B ,富邦美債20年 ,20170720,    38.0996,    38.1658,     2253
00679B ,元大美債20年 ,20170720,    36.5724,    36.6466,     1863
00697B ,元大美債7-10 ,20170720,    38.2344,    38.2440,     1831
00687B ,國泰20年美債 ,20170720,    38.1554,    38.2584,      851
00694B ,富邦美債1-3  ,20170720,    38.7435,    38.8011,     2332
00695B ,富邦美債7-10 ,20170720,    36.4619,    36.5165,     2280
00696B ,富邦美債20年 ,20170721,    38.2603,    38.3076,     2113
00679B ,元大美債20年 ,20170721,    36.7672,    36.8228,     1823
00697B ,元大美債7-10 ,20170721,    38.3403,    38.2921,     1906
00687B ,國泰20年美債 ,20170721,    38.3053,    38.4083,     6437
00694B ,富邦美債1-3  ,20170721,    38.8107,    38.8107,     2853
00695B ,富邦美債7-10 ,20170721,    36.5256,    36.5801,     2501
00696B ,富邦美債20年 ,20170724,    38.4305,    38.3265,     2569
00679B ,元大美債20年 ,20170724,    36.9620,    36.8599,     1966
00697B ,元大美債7-10 ,20170724,    38.3114,    38.2825,     1804
00687B ,國泰20年美債 ,20170724,    38.3989,    38.4738,      360
00694B ,富邦美債1-3  ,20170724,    38.7819,    38.7147,     2431
00695B ,富邦美債7-10 ,20170724,    36.5801,    36.5074,     2808
00696B ,富邦美債20年 ,20170725,    38.1374,    38.0807,     1453
00679B ,元大美債20年 ,20170725,    36.7115,    36.6188,     1864
